DAY,Time_Stamp,SMS_In,SMS_Out,Call_In,Call_Out,Internet_Activity,Label_Y
1,23054820,0.797417405244099,0.225723956184087,0.106337007162646,0.0795753134057594,9.43119146874073,0
1,23054830,0.254101963301873,0.0784602306184649,0.134800512652732,0.292163829358751,9.08251636060311,0
1,23054840,0.732802382721629,0.185912320568405,0.215538866671391,0.0647860192670693,8.34040965297828,0
1,23054850,0.410926508887593,0.188862671286804,0.303965232232347,0.257137812392572,10.518263865713,0
1,23054860,0.701303028140844,0.539740821731226,0.191813022005203,0.333762775079933,10.4637484343309,0
1,23054870,0.768329630261412,0.21795044626949,0.208437584074998,0.249364302477975,12.0446525383508,0
1,23054880,0.839592662632275,0.137212092250831,0.455427847501568,0.360524468836819,11.8085946728485,0
1,23054890,0.485187849802459,0.251151612583474,0.407890659796894,0.483438080243654,11.3839939526095,0
1,23054900,0.57597783713591,0.38895043378021,0.521830180129537,0.464988667521666,10.931687452571,0
1,23054910,0.598626139561498,0.300476110393648,0.248825531357675,0.545273748792324,11.5632582633296,0
1,23054920,0.981542415707004,0.595675788843098,0.704877648351843,0.581339767452408,12.8883961328611,0
1,23054930,0.878865527127657,0.441801593975778,0.572488715297211,0.786325770235402,12.5595782135151,0
1,23054940,1.01009141956939,0.548138601138423,0.51198708410604,0.560063042931015,15.4067828270618,0
1,23054950,1.55510867324481,0.779091031441104,0.5903138585266,0.894364589131248,12.4799549422837,0
1,23054960,0.878241257635057,0.682314844298555,0.864567046283661,0.833691961195476,12.0456188013326,0
1,23054970,0.970279783953708,0.440638553362878,0.570077135699111,1.14734105236692,13.1742797267471,0
1,23054980,0.973854404164707,0.543854213062525,0.804065415092492,0.88417949961855,12.7188260983591,0
1,23054990,1.29431074226894,0.529064918923835,0.580886494704408,0.578303918361709,15.9136047584825,0
1,23055000,1.10594930155574,0.794749330529098,0.646077828893872,0.571864445804611,12.5222378749833,0
1,23055010,0.921579555636133,0.57294198804521,0.727440452405131,0.857588802606264,13.4027947965652,0
1,23055020,1.01349504303579,0.633443619236381,0.678654725715256,0.80996611652929,15.2206515519232,0
1,23055030,0.708991039683141,0.423437679626089,0.700139987527945,0.403862766837895,13.0939571049298,0
1,23055040,1.15851818574791,0.937702887132323,0.633529117608681,0.534549888159328,11.4859457097164,0
1,23055050,1.11571865886714,0.51306462634664,0.86760289537436,0.554749070440121,11.5367530646896,0
1,23055060,1.13828146292042,0.688668818483353,0.657340460647168,0.622976253720285,12.5653418548066,0
1,23055070,0.788566353088901,0.49756556434305,0.685350693389254,0.838968393139675,11.5320258211446,0
1,23055080,0.897768212597646,0.27845207746066,0.705416419472143,0.762967699944914,11.7240473804411,0
1,23055090,1.21964408643168,0.51119181786884,0.485225390349154,0.762514427196915,12.7189970951037,0
1,23055100,1.24470396845537,0.701841799261144,0.625755607694084,0.625216836573784,13.9644470295894,0
1,23055110,0.721000979848033,0.245250911146676,0.353913999535121,0.352750958922221,12.3583495873479,0
1,23055120,0.783289921144703,0.248740032985375,0.579552457346908,0.559438773438415,11.8872516810981,0
1,23055130,0.656801689526869,0.674541334383958,0.464278899656765,0.378264113693908,12.6956507844734,0
1,23055140,0.865815585268862,0.697728407929845,0.248825531357675,0.331265697109533,11.9436516806182,0
1,23055150,0.690456128588853,0.682143847553955,0.428212880996683,0.375313762975509,13.0316903405722,0
1,23055160,0.85559295520947,0.660205312993267,0.375399261347809,0.51306462634664,13.2851576171026,0
1,23055170,1.28247179884866,0.527730881566335,0.391938325045304,0.609387540741189,15.3650350615351,0
1,23055180,0.878865527127657,0.839592662632275,0.325450494045036,0.536251699892527,14.6308846202297,0
1,23055190,0.919082477665734,0.643666249295773,0.320088563728537,0.428212880996682,14.5077882524181,0
